ts,close,mom_equity,mr_equity,vm_equity
2026-01-20 17:30:00+00:00,90186.67,98.65084863318003,98.95206042754457,99.287677633597
2026-01-20 17:31:00+00:00,90151.26,98.65084863318003,98.95206042754457,99.287677633597
2026-01-20 17:32:00+00:00,90144.0,98.65084863318003,98.95206042754457,99.287677633597
2026-01-20 17:33:00+00:00,90009.32,98.65084863318003,98.93721984456788,99.287677633597
2026-01-20 17:34:00+00:00,89972.19,98.65084863318003,98.89640697126954,99.287677633597
2026-01-20 17:35:00+00:00,89820.04,98.65084863318003,98.72916542340147,99.287677633597
2026-01-20 17:36:00+00:00,89777.72,98.65084863318003,98.68264776118804,99.287677633597
2026-01-20 17:37:00+00:00,89761.1,98.65084863318003,98.66437924639628,99.287677633597
2026-01-20 17:38:00+00:00,89937.09,98.65084863318003,98.85782545086093,99.287677633597
2026-01-20 17:39:00+00:00,89744.01,98.65084863318003,98.64559411295515,99.287677633597
2026-01-20 17:40:00+00:00,89754.78,98.65084863318003,98.65743237434549,99.287677633597
2026-01-20 17:41:00+00:00,89704.19,98.65084863318003,98.60182442228079,99.287677633597
2026-01-20 17:42:00+00:00,89786.32,98.65084863318003,98.69210078328246,99.287677633597
2026-01-20 17:43:00+00:00,89753.66,98.65084863318003,98.65620128309598,99.287677633597
2026-01-20 17:44:00+00:00,89688.01,98.65084863318003,98.58403955047989,99.287677633597
2026-01-20 17:45:00+00:00,89698.54,98.65084863318003,98.59561400660247,99.287677633597
2026-01-20 17:46:00+00:00,89500.01,98.65084863318003,98.37739209074151,99.287677633597
2026-01-20 17:47:00+00:00,89580.0,98.65084863318003,98.46531618810573,99.287677633597
2026-01-20 17:48:00+00:00,89670.84,98.65084863318003,98.56516648194953,99.287677633597
2026-01-20 17:49:00+00:00,89710.32,98.65084863318003,98.6085624484946,99.287677633597
2026-01-20 17:50:00+00:00,89595.88,98.65084863318003,98.48277130332194,99.287677633597
2026-01-20 17:51:00+00:00,89592.07,98.65084863318003,98.47858339469639,99.287677633597
2026-01-20 17:52:00+00:00,89641.77,98.65084863318003,98.53321306889319,99.287677633597
2026-01-20 17:53:00+00:00,89619.22,98.65084863318003,98.50842636561073,99.287677633597
2026-01-20 17:54:00+00:00,89790.87,98.65084863318003,98.69710209148356,99.287677633597
2026-01-20 17:55:00+00:00,89721.74,98.65084863318003,98.62111518248508,99.287677633597
2026-01-20 17:56:00+00:00,89759.99,98.65084863318003,98.66315914703293,99.287677633597
2026-01-20 17:57:00+00:00,89796.07,98.65084863318003,98.70281787228484,99.287677633597
2026-01-20 17:58:00+00:00,89771.42,98.65084863318003,98.67572287290956,99.287677633597
2026-01-20 17:59:00+00:00,89775.46,98.65084863318003,98.68016359491672,99.287677633597
2026-01-20 18:00:00+00:00,89868.42,98.65084863318003,98.78234416862564,99.287677633597
2026-01-20 18:01:00+00:00,89838.01,98.65084863318003,98.74891784282434,99.287677633597
2026-01-20 18:02:00+00:00,89875.18,98.65084863318003,98.78977468366729,99.287677633597
2026-01-20 18:03:00+00:00,89885.35,98.65084863318003,98.80095343188826,99.287677633597
2026-01-20 18:04:00+00:00,89896.5,98.65084863318003,98.81320938495253,99.287677633597
2026-01-20 18:05:00+00:00,89839.76,98.65084863318003,98.75084142290169,99.287677633597
2026-01-20 18:06:00+00:00,89805.44,98.65084863318003,98.71311726961329,99.287677633597
2026-01-20 18:07:00+00:00,89867.29,98.65084863318003,98.78110208548998,99.287677633597
2026-01-20 18:08:00+00:00,89758.22,98.65084863318003,98.66121358318325,99.287677633597
2026-01-20 18:09:00+00:00,89777.23,98.65084863318003,98.68210915876637,99.287677633597
2026-01-20 18:10:00+00:00,89840.11,98.65084863318003,98.75122613891718,99.287677633597
2026-01-20 18:11:00+00:00,89840.26,98.65084863318003,98.75139101720951,99.287677633597
2026-01-20 18:12:00+00:00,89843.07,98.65084863318003,98.75447973721944,99.287677633597
2026-01-20 18:13:00+00:00,89903.11,98.65084863318003,98.82047502170184,99.287677633597
2026-01-20 18:14:00+00:00,89908.03,98.65084863318003,98.82588302969073,99.287677633597
2026-01-20 18:15:00+00:00,89893.41,98.65084863318003,98.80981289213024,99.287677633597
2026-01-20 18:16:00+00:00,89940.59,98.65084863318003,98.84684336012398,99.287677633597
2026-01-20 18:17:00+00:00,89890.0,98.65084863318003,98.84684336012398,99.287677633597
2026-01-20 18:18:00+00:00,89816.55,98.65084863318003,98.84684336012398,99.287677633597
2026-01-20 18:19:00+00:00,89784.24,98.65084863318003,98.84684336012398,99.287677633597
2026-01-20 18:20:00+00:00,89676.09,98.65084863318003,98.84684336012398,99.287677633597
2026-01-20 18:21:00+00:00,89661.1,98.65084863318003,98.83201855734038,99.287677633597
2026-01-20 18:22:00+00:00,89759.99,98.65084863318003,98.94102344703207,99.287677633597
2026-01-20 18:23:00+00:00,89707.66,98.65084863318003,98.88334091211887,99.287677633597
2026-01-20 18:24:00+00:00,89799.19,98.65084863318003,98.98423298971498,99.287677633597
2026-01-20 18:25:00+00:00,89817.82,98.65084863318003,99.0047685453319,99.287677633597
2026-01-20 18:26:00+00:00,89890.67,98.65084863318003,99.07020719260554,99.287677633597
2026-01-20 18:27:00+00:00,89854.01,98.65084863318003,99.07020719260554,99.287677633597
2026-01-20 18:28:00+00:00,89723.52,98.65084863318003,99.07020719260554,99.287677633597
2026-01-20 18:29:00+00:00,89733.13,98.65084863318003,99.07020719260554,99.287677633597
2026-01-20 18:30:00+00:00,89696.76,98.65084863318003,99.07020719260554,99.287677633597
2026-01-20 18:31:00+00:00,89690.71,98.65084863318003,99.07020719260554,99.287677633597
2026-01-20 18:32:00+00:00,89677.53,98.65084863318003,99.07020719260554,99.287677633597
2026-01-20 18:33:00+00:00,89638.55,98.65084863318003,99.05534889027199,99.287677633597
2026-01-20 18:34:00+00:00,89696.93,98.65084863318003,99.11986188460548,99.287677633597
2026-01-20 18:35:00+00:00,89660.0,98.65084863318003,99.07905227719309,99.287677633597
2026-01-20 18:36:00+00:00,89554.0,98.65084863318003,98.96191665884173,99.287677633597
2026-01-20 18:37:00+00:00,89563.72,98.65084863318003,98.97265777403395,99.287677633597
2026-01-20 18:38:00+00:00,89570.95,98.65084863318003,98.9806473072479,99.287677633597
2026-01-20 18:39:00+00:00,89588.8,98.65084863318003,99.00037250335708,99.287677633597
2026-01-20 18:40:00+00:00,89497.67,98.65084863318003,98.89966902316502,99.287677633597
2026-01-20 18:41:00+00:00,89551.35,98.65084863318003,98.95898826838295,99.287677633597
2026-01-20 18:42:00+00:00,89507.51,98.65084863318003,98.91054274471763,99.287677633597
2026-01-20 18:43:00+00:00,89512.07,98.65084863318003,98.91558178641276,99.287677633597
2026-01-20 18:44:00+00:00,89512.65,98.65084863318003,98.91622271715467,99.287677633597
