timestamp,instrument,side,qty,price,fees,strategy_id,order_id
2026-01-22T08:48:10.019969038+00:00,BANKNIFTY26JAN58900PE,BUY,15,248.5500,24.2989,HYDRA_BANKNIFTY26JAN58900PE,SIM-1
2026-01-22T08:48:10.019979593+00:00,BANKNIFTY26JAN59000CE,SELL,15,439.1500,101.7236,HYDRA_BANKNIFTY26JAN59000CE,SIM-2
2026-01-22T08:48:10.019986341+00:00,BANKNIFTY26JAN59000PE,BUY,30,281.6000,55.0598,HYDRA_BANKNIFTY26JAN59000PE,SIM-3
2026-01-22T08:48:10.019995407+00:00,BANKNIFTY26JAN58900CE,SELL,30,503.3500,233.1895,HYDRA_BANKNIFTY26JAN58900CE,SIM-4
2026-01-22T08:48:10.019999865+00:00,BANKNIFTY26JAN58900PE,BUY,15,245.1500,23.9665,HYDRA_BANKNIFTY26JAN58900PE,SIM-5
2026-01-22T08:48:10.020026916+00:00,BANKNIFTY26JAN58900CE,SELL,15,502.9500,116.5021,HYDRA_BANKNIFTY26JAN58900CE,SIM-6
2026-01-22T08:48:10.020034281+00:00,BANKNIFTY26JAN58900PE,BUY,30,247.4500,48.3827,HYDRA_BANKNIFTY26JAN58900PE,SIM-7
2026-01-22T08:48:10.020040732+00:00,BANKNIFTY26JAN58900CE,SELL,30,499.3000,231.3132,HYDRA_BANKNIFTY26JAN58900CE,SIM-8
2026-01-22T08:48:10.020044530+00:00,BANKNIFTY26JAN58900PE,BUY,30,248.9500,48.6759,HYDRA_BANKNIFTY26JAN58900PE,SIM-9
2026-01-22T08:48:10.020067136+00:00,BANKNIFTY26JAN59000PE,SELL,15,291.7500,67.5802,HYDRA_BANKNIFTY26JAN59000PE,SIM-10
2026-01-22T08:48:10.020074989+00:00,BANKNIFTY26JAN58900CE,SELL,30,482.7500,223.6460,HYDRA_BANKNIFTY26JAN58900CE,SIM-11
2026-01-22T08:48:10.020078627+00:00,BANKNIFTY26JAN58900PE,BUY,30,253.6000,49.5851,HYDRA_BANKNIFTY26JAN58900PE,SIM-12
