date,entry_time,exit_time,direction,entry_price,exit_price,pnl_points,exit_reason,sub_strategy,combined_score,bars_held
2025-01-06,2025-01-06 09:35:00,2025-01-06 10:05:00,-1,24033.0,24074.099609375,-44.099609375,max_hold,momentum,-0.5,30
2025-01-06,2025-01-06 10:42:00,2025-01-06 10:56:00,-1,23965.0,23907.25,54.75,target,orb,-0.5,14
2025-01-07,2025-01-07 10:14:00,2025-01-07 10:44:00,1,23855.150390625,23840.0,-18.150390625,max_hold,momentum,0.5,30
2025-01-08,2025-01-08 13:45:00,2025-01-08 14:15:00,1,23750.0,23808.900390625,55.900390625,max_hold,momentum,0.5,30
2025-01-10,2025-01-10 09:34:00,2025-01-10 10:04:00,-1,23539.94921875,23436.19921875,100.75,target,orb,-0.5,30
2025-01-17,2025-01-17 10:50:00,2025-01-17 11:20:00,-1,23183.650390625,23188.400390625,-7.75,max_hold,momentum,-0.5,30
2025-01-20,2025-01-20 11:18:00,2025-01-20 12:18:00,1,23372.69921875,23399.900390625,24.201171875,max_hold,orb,0.5,60
2025-01-21,2025-01-21 10:22:00,2025-01-21 11:22:00,-1,23217.5,23204.05078125,10.44921875,max_hold,orb,-0.5,60
2025-01-21,2025-01-21 11:45:00,2025-01-21 11:47:00,1,23308.75,23401.349609375,89.599609375,target,momentum,0.5,2
2025-01-21,2025-01-21 12:16:00,2025-01-21 12:46:00,-1,23216.80078125,23199.0,14.80078125,max_hold,momentum,-0.5,30
2025-01-23,2025-01-23 09:36:00,2025-01-23 09:40:00,1,23185.19921875,23227.8984375,39.69921875,target,orb,0.5,4
2025-01-28,2025-01-28 11:02:00,2025-01-28 11:41:00,1,22988.150390625,23049.849609375,58.69921875,target,orb,0.5,39
2025-01-28,2025-01-28 14:27:00,2025-01-28 14:47:00,1,23142.25,23065.599609375,-79.650390625,stop_loss,momentum,0.5,20
2025-01-29,2025-01-29 10:10:00,2025-01-29 11:10:00,1,23112.0,23107.5,-7.5,max_hold,orb,0.5,60
2025-01-29,2025-01-29 11:24:00,2025-01-29 11:31:00,-1,22984.94921875,23090.25,-108.30078125,stop_loss,momentum,-0.5,7
2025-01-30,2025-01-30 10:10:00,2025-01-30 11:02:00,1,23433.099609375,23387.83740234375,-48.26220703125,stop_loss,orb,0.5,52
2025-01-31,2025-01-31 10:32:00,2025-01-31 11:32:00,1,23531.0,23523.0,-11.0,max_hold,orb,0.5,60
2025-02-01,2025-02-01 09:31:00,2025-02-01 09:56:00,1,23670.05078125,23595.75,-77.30078125,stop_loss,momentum,0.5,25
2025-02-01,2025-02-01 09:56:00,2025-02-01 10:56:00,1,23627.599609375,23668.0,37.400390625,max_hold,orb,0.5,60
2025-02-01,2025-02-01 11:50:00,2025-02-01 11:55:00,-1,23575.900390625,23476.650390625,96.25,target,momentum,-0.5,5
2025-02-07,2025-02-07 10:09:00,2025-02-07 10:18:00,1,23735.69921875,23655.0,-83.69921875,stop_loss,momentum,0.5,9
2025-02-07,2025-02-07 10:18:00,2025-02-07 10:48:00,-1,23615.25,23645.0,-32.75,max_hold,momentum,-0.5,30
