date,close,position,signal,fii_z,dii_z,fii_net_fut,daily_return,cumulative_return
2025-11-14,25910.05,0.0,below_threshold,-0.0188,1.7815,-169619,0.0,0.996535
2025-11-17,26013.45,0.0,below_threshold,0.3394,1.6766,-169285,0.0,0.996535
2025-11-18,25910.05,0.0,below_threshold,0.0037,1.7548,-168789,-0.0,0.996535
2025-11-19,26052.65,0.0,below_threshold,0.8578,1.6711,-167571,0.0,0.996535
2025-11-20,26192.15,0.0,below_threshold,0.9043,2.7843,-165565,0.0,0.996535
2025-11-21,26068.15,0.0,below_threshold,-0.0362,2.0986,-169847,-0.0,0.996535
2025-11-24,25959.5,0.0,below_threshold,-0.1908,0.2153,-161697,-0.0,0.996535
2025-11-25,25884.8,0.0,below_threshold,1.2847,0.1559,-94689,-0.0,0.996535
2025-11-26,26205.3,0.9416967965809377,fii_long|momentum,2.5683,0.0475,-90747,-0.00010781,0.996427
2025-11-27,26215.55,0.9416967965809377,hold,2.1886,0.0424,-87263,0.00036834,0.996794
2025-11-28,26202.95,0.9416967965809377,hold,1.5555,0.0335,-87596,-0.00045261,0.996343
2025-12-01,26175.75,0.0,below_threshold|signal_exit,1.3589,-0.1082,-87170,-0.00108546,0.995262
2025-12-02,26032.2,0.0,below_threshold,0.9431,-0.8905,-99859,-0.0,0.995262
2025-12-03,25986.0,0.0,below_threshold,0.5365,-1.8506,-113469,-0.0,0.995262
2025-12-04,26033.75,0.0,below_threshold,0.1256,-1.756,-122530,0.0,0.995262
2025-12-05,26186.45,0.0,below_threshold,0.7206,-0.8472,-121302,0.0,0.995262
2025-12-08,25960.55,0.0,below_threshold,-1.1238,-0.7184,-138529,-0.0,0.995262
2025-12-09,25839.65,0.0,below_threshold,-0.6,-0.6539,-142498,-0.0,0.995262
2025-12-10,25758.0,0.0,below_threshold,-0.6773,-0.7041,-148339,-0.0,0.995262
2025-12-11,25898.55,0.0,below_threshold,-0.3034,-0.6531,-146984,0.0,0.995262
2025-12-12,26046.95,0.0,below_threshold,0.0832,0.1806,-150416,0.0,0.995262
2025-12-15,26027.3,0.0,below_threshold,0.0756,0.1637,-147925,-0.0,0.995262
2025-12-16,25860.1,0.0,below_threshold,-0.6843,0.2655,-156845,-0.0,0.995262
2025-12-17,25818.55,0.0,below_threshold,-0.9445,0.5708,-164650,-0.0,0.995262
2025-12-18,25815.55,0.0,below_threshold,-0.813,0.5615,-165482,-0.0,0.995262
2025-12-19,25966.4,0.0,below_threshold,0.0988,0.5281,-158785,0.0,0.995262
2025-12-22,26172.4,0.0,below_threshold,0.8619,0.4273,-144701,0.0,0.995262
