date,spot,total_gex,gex_z,gex_regime,max_pain,vix,daily_return
2025-10-31,25722.1,287788002.8174838,2.7875011176743554,positive,25850.0,12.15,0.0
2025-11-03,25763.35,159196041.9569131,0.8906110572366958,positive,25800.0,12.67,0.0
2025-11-04,25597.65,32498085.36801997,-0.6211469480064268,positive,25700.0,12.65,0.006315172522206821
2025-11-06,25509.7,115551930.3427867,0.29503108419681867,positive,25600.0,12.41,0.0
2025-11-07,25492.3,12987902.57855162,-1.0640573642731874,positive,25500.0,12.56,0.0
2025-11-10,25574.35,129174023.67222816,0.39431579700823,positive,25600.0,12.3,0.0039158883270634945
2025-11-11,25694.95,28254688.1502435,-0.9210960344277785,positive,25700.0,12.49,0.0039158883270634945
2025-11-12,25875.8,5691630.838461556,-1.1217922067869917,positive,25850.0,12.11,0.0
2025-11-13,25879.15,36813011.0894233,-0.7023763268466662,positive,25900.0,12.16,0.0
2025-11-14,25910.05,153085448.22000957,0.6921727644147015,positive,25900.0,11.94,0.002395751019643226
2025-11-17,26013.45,87376853.20365319,-0.14345009473137918,positive,26000.0,11.79,0.002395751019643226
2025-11-18,25910.05,39260310.24939661,-0.7516260339436958,positive,25950.0,12.1,0.002395751019643226
2025-11-19,26052.65,-25073602.262501173,-1.614714763661196,negative,26000.0,11.97,0.002395751019643226
2025-11-20,26192.15,-45621690.82792741,-1.75204270568619,negative,26100.0,12.14,0.002395751019643226
2025-11-21,26068.15,84354201.41951947,-0.04276111839038898,positive,26050.0,13.63,0.0
2025-11-24,25959.5,331654555.95846033,2.9326421125350794,positive,26000.0,13.24,0.0
2025-11-25,25884.8,32803436.62984559,-0.5842793299803275,positive,26000.0,12.24,0.0
2025-11-27,26215.55,33317071.7997623,-0.5393000320329542,positive,26200.0,11.79,-0.0008051056990975456
2025-11-28,26202.95,51957678.531178,-0.337652301756299,positive,26200.0,11.62,-0.0008051056990975456
2025-12-01,26175.75,272171296.0412788,1.8945229881173933,positive,26200.0,11.63,-0.0008051056990975456
2025-12-02,26032.2,54410332.42811394,-0.3522741485492033,positive,26100.0,11.23,-0.0008051056990975456
2025-12-03,25986.0,97360272.13943821,0.19071283161576202,positive,26000.0,11.21,-0.0008051056990975456
2025-12-04,26033.75,97115507.10085268,0.2253474045696482,positive,26000.0,10.82,0.0
2025-12-05,26186.45,1361325.1123487279,-0.8560669062100112,positive,26150.0,10.32,0.0
2025-12-08,25960.55,477291818.71208686,4.354754038960336,positive,26000.0,11.13,0.008512035804776953
2025-12-09,25839.65,50446588.90824475,-0.3648139095378427,positive,25900.0,10.95,0.0
2025-12-10,25758.0,130292103.34574457,0.28940813719007996,positive,25850.0,10.91,0.0
