date,daily_pnl,n_trades,max_intraday_dd,notional
2025-03-05,0.0,0,0.0,22223.0
2025-03-06,-51.75,1,51.75,22536.55078125
2025-03-07,0.0,0,0.0,22585.0
2025-03-10,0.0,0,0.0,22622.0
2025-03-11,0.0,0,0.0,22403.5
2025-03-12,0.0,0,0.0,22603.0
2025-03-13,0.0,0,0.0,22544.30078125
2025-03-17,0.0,0,0.0,22567.0
2025-03-18,0.0,0,0.0,22680.05078125
2025-03-19,0.0,0,0.0,22910.94921875
2025-03-20,0.0,0,0.0,23036.0
2025-03-21,0.0,0,0.0,23193.849609375
2025-03-24,0.0,0,0.0,23485.69921875
2025-03-25,0.0,0,0.0,23771.55078125
2025-03-26,0.0,0,0.0,23692.849609375
2025-03-27,0.0,0,0.0,23622.75
2025-03-28,0.0,0,0.0,23765.05078125
2025-04-01,0.0,0,0.0,23541.94921875
2025-04-02,-45.9501953125,1,45.9501953125,23335.150390625
2025-04-03,0.0,0,0.0,23285.0
2025-04-04,0.0,0,0.0,23186.650390625
2025-04-07,0.0,0,0.0,22152.94921875
2025-04-08,0.0,0,0.0,22612.75
2025-04-09,0.0,0,0.0,22479.94921875
2025-04-11,0.0,0,0.0,22816.599609375
2025-04-15,0.0,0,0.0,23339.900390625
2025-04-16,0.0,0,0.0,23299.69921875
2025-04-17,0.0,0,0.0,23404.0
2025-04-21,0.0,0,0.0,23959.0
2025-04-22,0.0,0,0.0,24135.0
2025-04-23,0.0,0,0.0,24284.400390625
2025-04-24,-32.2998046875,1,32.2998046875,24406.0
2025-04-25,0.0,0,0.0,24479.69921875
2025-04-28,0.0,0,0.0,24227.5
2025-04-29,0.0,0,0.0,24537.400390625
2025-04-30,0.0,0,0.0,24364.0
2025-05-02,0.0,0,0.0,24516.900390625
2025-05-05,0.0,0,0.0,24524.0
2025-05-06,0.0,0,0.0,24554.19921875
2025-05-07,0.0,0,0.0,24423.0
2025-05-08,0.0,0,0.0,24509.5
2025-05-09,0.0,0,0.0,24152.80078125
2025-05-12,0.0,0,0.0,24580.900390625
2025-05-13,-103.75,1,103.75,25032.0
2025-05-14,0.0,0,0.0,24671.0
2025-05-15,-46.5,1,46.5,24715.0
2025-05-16,0.0,0,0.0,25080.30078125
2025-05-19,0.0,0,0.0,25028.0
2025-05-20,0.0,0,0.0,25040.0
2025-05-21,-42.9501953125,1,42.9501953125,24788.69921875
2025-05-22,0.0,0,0.0,24743.0
2025-05-23,0.0,0,0.0,24680.0
2025-05-26,0.0,0,0.0,25021.5
2025-05-27,0.0,0,0.0,24950.0
2025-05-28,0.0,0,0.0,24821.19921875
2025-05-29,0.0,0,0.0,24982.0
2025-05-30,0.0,0,0.0,24931.69921875
2025-06-02,0.0,0,0.0,24692.099609375
2025-06-03,-46.19921875,2,85.400390625,24908.80078125
2025-06-04,0.0,0,0.0,24698.0
2025-06-05,0.0,0,0.0,24755.099609375
2025-06-06,0.0,0,0.0,24827.400390625
2025-06-09,0.0,0,0.0,25187.599609375
2025-06-10,-48.599609375,1,48.599609375,25218.099609375
2025-06-11,0.0,0,0.0,25163.30078125
2025-06-12,0.0,0,0.0,25196.099609375
2025-06-13,0.0,0,0.0,24610.0
2025-06-16,0.0,0,0.0,24803.400390625
2025-06-17,0.0,0,0.0,24962.5
2025-06-18,0.0,0,0.0,24838.099609375
2025-06-19,0.0,0,0.0,24798.599609375
2025-06-20,0.0,0,0.0,24887.0
2025-06-23,0.0,0,0.0,24992.400390625
2025-06-24,0.0,0,0.0,25243.900390625
2025-06-25,0.0,0,0.0,25146.5
2025-06-26,0.0,0,0.0,25386.0
2025-06-27,0.0,0,0.0,25722.80078125
2025-06-30,0.0,0,0.0,25753.5
2025-07-01,0.0,0,0.0,25606.30078125
2025-07-02,0.0,0,0.0,25671.099609375
2025-07-03,0.0,0,0.0,25564.5
2025-07-04,0.0,0,0.0,25512.900390625
2025-07-07,0.0,0,0.0,25489.900390625
2025-07-08,0.0,0,0.0,25526.099609375
2025-07-09,0.0,0,0.0,25592.0
2025-07-10,0.0,0,0.0,25550.900390625
2025-07-11,0.0,0,0.0,25331.30078125
2025-07-14,0.0,0,0.0,25170.19921875
2025-07-15,0.0,0,0.0,25206.5
2025-07-16,0.0,0,0.0,25222.0
2025-07-17,0.0,0,0.0,25256.099609375
2025-07-18,0.0,0,0.0,25161.0
2025-07-21,0.0,0,0.0,24999.400390625
2025-07-22,0.0,0,0.0,25184.0
2025-07-23,0.0,0,0.0,25155.0
2025-07-24,0.0,0,0.0,25253.0
2025-07-25,0.0,0,0.0,24974.80078125
2025-07-28,0.0,0,0.0,24771.400390625
2025-07-29,0.0,0,0.0,24665.0
2025-07-30,0.0,0,0.0,24820.0
2025-07-31,0.0,0,0.0,24783.80078125
2025-08-01,0.0,0,0.0,24788.30078125
2025-08-04,0.0,0,0.0,24686.19921875
2025-08-05,0.0,0,0.0,24771.0
2025-08-06,0.0,0,0.0,24705.0
2025-08-07,0.0,0,0.0,24565.0
2025-08-08,0.0,0,0.0,24643.0
2025-08-11,0.0,0,0.0,24424.900390625
2025-08-12,0.0,0,0.0,24610.0
2025-08-13,0.0,0,0.0,24647.900390625
2025-08-14,0.0,0,0.0,24712.900390625
2025-08-18,0.0,0,0.0,24975.0
2025-08-19,0.0,0,0.0,24946.099609375
2025-08-20,0.0,0,0.0,24988.0
2025-08-21,0.0,0,0.0,25122.0
2025-08-22,0.0,0,0.0,25060.099609375
2025-08-25,0.0,0,0.0,24940.19921875
2025-08-26,0.0,0,0.0,24917.5
2025-08-28,0.0,0,0.0,24743.80078125
2025-08-29,0.0,0,0.0,24691.0
2025-09-01,0.0,0,0.0,24642.19921875
2025-09-02,0.0,0,0.0,24785.0
2025-09-03,0.0,0,0.0,24686.0
2025-09-04,0.0,0,0.0,24964.30078125
2025-09-05,0.0,0,0.0,24892.900390625
2025-09-08,0.0,0,0.0,24895.69921875
2025-09-09,0.0,0,0.0,24951.400390625
2025-09-10,0.0,0,0.0,25027.30078125
2025-09-11,0.0,0,0.0,25061.0
2025-09-12,0.0,0,0.0,25152.80078125
2025-09-15,0.0,0,0.0,25188.0
2025-09-16,0.0,0,0.0,25159.80078125
2025-09-17,0.0,0,0.0,25395.099609375
2025-09-18,0.0,0,0.0,25487.69921875
2025-09-19,0.0,0,0.0,25453.19921875
2025-09-22,0.0,0,0.0,25324.0
2025-09-23,0.0,0,0.0,25290.0
2025-09-24,0.0,0,0.0,25156.599609375
2025-09-25,0.0,0,0.0,25054.900390625
2025-09-26,0.0,0,0.0,24878.5
2025-09-29,0.0,0,0.0,24763.30078125
2025-09-30,0.0,0,0.0,24851.900390625
2025-10-01,0.0,0,0.0,24758.0
2025-10-03,0.0,0,0.0,24932.5
2025-10-06,0.0,0,0.0,25009.0
2025-10-07,0.0,0,0.0,25211.0
2025-10-08,0.0,0,0.0,25199.19921875
2025-10-09,0.0,0,0.0,25155.0
2025-10-10,0.0,0,0.0,25284.69921875
2025-10-13,0.0,0,0.0,25316.599609375
2025-10-14,0.0,0,0.0,25354.19921875
2025-10-15,0.0,0,0.0,25320.400390625
2025-10-16,0.0,0,0.0,25499.0
2025-10-17,0.0,0,0.0,25599.0
2025-10-20,0.0,0,0.0,25966.0
2025-10-21,0.0,0,0.0,25954.099609375
2025-10-23,0.0,0,0.0,26096.099609375
2025-10-24,0.0,0,0.0,25960.0
2025-10-27,37.19921875,1,0.0,25917.400390625
2025-10-28,0.0,0,0.0,26184.5
2025-10-29,0.0,0,0.0,26186.0
2025-10-30,0.0,0,0.0,26153.0
2025-10-31,0.0,0,0.0,25979.400390625
2025-11-03,0.0,0,0.0,25846.400390625
2025-11-04,0.0,0,0.0,25899.0
2025-11-06,0.0,0,0.0,25779.900390625
2025-11-07,0.0,0,0.0,25491.69921875
2025-11-10,0.0,0,0.0,25677.400390625
2025-11-11,0.0,0,0.0,25710.900390625
2025-11-12,0.0,0,0.0,25944.0
2025-11-13,0.0,0,0.0,25927.099609375
2025-11-14,0.0,0,0.0,25907.30078125
2025-11-17,0.0,0,0.0,26000.0
2025-11-18,0.0,0,0.0,25975.099609375
2025-11-19,0.0,0,0.0,25923.0
2025-11-20,0.0,0,0.0,26134.0
2025-11-21,0.0,0,0.0,26142.0
2025-11-24,0.0,0,0.0,26130.80078125
2025-11-25,0.0,0,0.0,26132.5
2025-11-26,0.0,0,0.0,26152.30078125
2025-11-27,0.0,0,0.0,26430.0
2025-11-28,0.0,0,0.0,26389.0
2025-12-01,0.0,0,0.0,26465.0
2025-12-02,0.0,0,0.0,26275.0
2025-12-03,0.0,0,0.0,26161.099609375
2025-12-04,0.0,0,0.0,26082.400390625
2025-12-05,0.0,0,0.0,26172.0
2025-12-08,0.0,0,0.0,26302.0
2025-12-09,0.0,0,0.0,25981.0
2025-12-10,0.0,0,0.0,25942.19921875
2025-12-11,0.0,0,0.0,25880.0
2025-12-12,0.0,0,0.0,26091.0
2025-12-15,0.0,0,0.0,26051.400390625
2025-12-16,0.0,0,0.0,26024.0
2025-12-17,0.0,0,0.0,25936.400390625
2025-12-18,0.0,0,0.0,25842.0
