timestamp,equity,cash,gross_notional,unrealized_pnl
2026-01-23T04:32:53.080679632+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:54.080687432+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:55.080771734+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:56.081164539+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:57.330845257+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:58.580742929+00:00,1000000,1000000,-0,-0
2026-01-23T04:32:59.580847658+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:00.580854703+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:01.580862559+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:02.580873416+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:03.830479164+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:04.830580156+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:05.830725509+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:06.830821903+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:07.830826077+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:08.830904207+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:09.830911519+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:11.080574558+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:12.080637283+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:13.080707898+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:14.080764577+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:15.330686300+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:16.331173185+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:17.331191450+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:18.580529750+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:19.580568413+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:20.830439033+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:21.830449048+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:22.831370575+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:24.080500313+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:25.088423321+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:26.330631486+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:27.330638541+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:28.331066595+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:29.580573574+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:30.580577933+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:31.580668731+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:32.580681770+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:33.580682835+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:34.830436217+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:35.830708560+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:36.830847515+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:37.830927771+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:38.843646024+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:40.080425873+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:41.080463507+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:42.080688005+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:43.080694922+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:44.080700026+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:45.080720409+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:46.080804549+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:47.080840255+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:48.330524599+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:49.330705119+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:50.580599733+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:51.581412196+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:52.581422109+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:53.830598902+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:54.830903705+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:55.830918636+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:57.080656269+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:58.080663958+00:00,1000000,1000000,-0,-0
2026-01-23T04:33:59.080702431+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:00.080865128+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:01.080884013+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:02.080890707+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:03.330498068+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:04.330856709+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:05.330879445+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:06.580578791+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:07.590970718+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:08.830782190+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:09.830862273+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:11.080440511+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:12.080527640+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:13.080538976+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:14.080544998+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:15.080555257+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:16.080938598+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:17.330313872+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:18.330382446+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:19.330825493+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:20.580331141+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:21.580588040+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:22.580614097+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:23.580614336+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:24.580623034+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:25.581077043+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:26.830441027+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:27.830884224+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:28.831107038+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:29.831663270+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:31.080486156+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:32.080510474+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:33.081082734+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:34.081590244+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:35.331091791+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:36.580584687+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:37.580585899+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:38.580660654+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:39.580666610+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:40.580670589+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:41.580677673+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:42.580946763+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:43.580948800+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:44.830684464+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:45.830699327+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:46.830723307+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:47.830827036+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:48.830829111+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:49.831106815+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:50.831152845+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:51.831191879+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:52.831345974+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:53.831389507+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:55.080557520+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:56.080903093+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:57.330975866+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:58.580432390+00:00,1000000,1000000,-0,-0
2026-01-23T04:34:59.580492207+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:00.580496008+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:01.580995114+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:02.599338130+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:03.830405266+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:04.830844357+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:05.830900660+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:06.830909320+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:07.830917348+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:09.080324140+00:00,1000000,1000000,-0,-0
